DEBUG 2025-05-08 17:06:18,013 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\asyncio\timeouts.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,013 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\_testing\__init__.py first seen with mtime 1744484131.0208335
DEBUG 2025-05-08 17:06:18,013 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1744465207.352747
DEBUG 2025-05-08 17:06:18,014 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\utils\crypto.py first seen with mtime 1744465212.5535896
DEBUG 2025-05-08 17:06:18,014 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\_libs\json.cp312-win_amd64.pyd first seen with mtime 1744484130.8587725
DEBUG 2025-05-08 17:06:18,014 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\utils\decorators.py first seen with mtime 1744465212.558622
DEBUG 2025-05-08 17:06:18,015 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\bz2.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,015 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\keyword.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,015 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\email\mime\base.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,015 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\email\mime\text.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,015 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\pandas\io\html.py first seen with mtime 1744484128.5482426
DEBUG 2025-05-08 17:06:18,017 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\django\db\backends\base\features.py first seen with mtime 1744465212.2543807
DEBUG 2025-05-08 17:06:18,017 autoreload 7104 25060 File C:\Users\Нияз\AppData\Local\Programs\Python\Python312\Lib\wsgiref\handlers.py first seen with mtime 1712656218.0
DEBUG 2025-05-08 17:06:18,017 autoreload 7104 25060 File C:\Users\Нияз\PycharmProjects\metallurg_production\.venv\Lib\site-packages\asgiref\sync.py first seen with mtime 1744465207.8605912
